"name","type","year_of_birth_or_formation","nationality"
"Fitz and The Tantrums","group",2008,"United States"
"Anne-Marie","artist",1991,"United Kingdom"
"Charlie Puth","artist",1991,"United States"
"AlunaGeorge","artist",2012,"United Kingdom"
"MNEK","artist",1994,"United Kingdom"
"Mike Perry","artist",1993,"Sweden"
"Tory Lanez","artist",1992,"Canada"
"Kungs","artist",1996,"France"
"DNCE","artist",2015,"United States"
"99 Souls","artist",2015,"United Kingdom"
"Illy","artist",1986,"Australia"
"Kiiara","artist",1995,"United States"
"ZAYN","artist",1993,"United Kingdom"
"Steve Aoki","artist",1977,"United States"
"Flume","artist",1991,"Australia"
"PARTYNEXTDOOR","artist",1993,"Canada"
"Garrett Nash","artist",1993,"United States"
"Hilltop Hoods","artist",1994,"Australia"
"Daya","artist",1998,"United States"
"Kent Jones","artist",1993,"United States"
"MØ","artist",1988,"Denmark"
"The Lumineers","artist",2005,"United States"
"Luis Fonsi","artist",1978,"Puerto Rico"
"Camila Cabello","artist",1997,"Cuba"
"Billie Eilish","artist",2001,"United States"
"Lil Peep","artist",1996,"United States"
"A$AP Ferg","artist",1988,"United States"
"French Montana","artist",1984,"Morocco"
"21 Savage","artist",1992,"United Kingdom"
"Axwell /\\ Ingrosso","artist",2014,"Sweden"
"J Balvin","artist",1985,"Colombia"
"Jax Jones","artist",1987,"United Kingdom"
"Ayo & Teo","artist",2017,"United States"
"Lil Uzi Vert","artist",1995,"United States"
"Playboi Carti","artist",1996,"United States"
"Chord Overstreet","artist",1989,"United States"
"Natti Natasha","artist",1986,"Dominican Republic"
"Big Shaq","artist",2017,"United Kingdom"
"Rag'n'Bone Man","artist",1985,"United Kingdom"
"blackbear","artist",1990,"United States"
"Lil Pump","artist",2000,"United States"
"Kodak Black","artist",1997,"United States"
"A Boogie Wit da Hoodie","artist",1995,"United States"
"XXXTENTACION","artist",1998,"United States"
"Migos","artist",2008,"United States"
"Yo Gotti","artist",1981,"United States"
"Martin Jensen","artist",1991,"Denmark"
"The Vamps","artist",2012,"United Kingdom"
"Cardi B","artist",1992,"United States"
"Post Malone","artist",1995,"United States"
"Zay Hilfigerrr","artist",2001,"United States"
"Maggie Lindemann","artist",1998,"United States"
"Macklemore","artist",1983,"United States"
"Hayden James","artist",1988,"Australia"
"Liam Payne","artist",1993,"United Kingdom"
"Starley","artist",1987,"Australia"
"AJR","artist",2005,"United States"
"CNCO","artist",2015,"Puerto Rico"
"Offset","artist",1991,"United States"
"Dynoro","artist",2000,"Lithuania"
"Juice WRLD","artist",1998,"United States"
"Sheck Wes","artist",1998,"United States"
"6ix9ine","artist",1996,"United States"
"Nio Garcia","artist",1990,"Puerto Rico"
"Machine Gun Kelly","artist",1990,"United States"
"Jay Rock","artist",1985,"United States"
"Rich The Kid","artist",1992,"United States"
"Logic","artist",1990,"United States"
"EO","artist",1999,"United States"
"Dennis Lloyd","artist",1993,"Israel"
"girl in red","artist",1999,"Norway"
"Tom Walker","artist",1991,"United Kingdom"
"Sofía Reyes","artist",1995,"Mexico"
"Loud Luxury","artist",2012,"Canada"
"NF","artist",1991,"United States"
"Maluma","artist",1994,"Colombia"
"Lil Baby","artist",1994,"United States"
"Ozuna","artist",1992,"Puerto Rico"
"BlocBoy JB","artist",1996,"United States"
"Dean Lewis","artist",1987,"Australia"
"YG","artist",1990,"United States"
"B Young","artist",1998,"United Kingdom"
"Reik","artist",2003,"Mexico"
"benny blanco","artist",1988,"United States"
"MK","artist",1983,"United Kingdom"
"Banx & Ranx","artist",2015,"Canada"
"Ella Mai","artist",1994,"United Kingdom"
"FINNEAS","artist",1997,"United States"
"Hugh Jackman","artist",1968,"Australia"
"Halsey","artist",1994,"United States"
"M.O","artist",2012,"United Kingdom"
"Cashmere Cat","artist",1987,"Norway"
"Bazzi","artist",1997,"United States"
"Lil Dicky","artist",1988,"United States"
"Lauv","artist",1994,"United States"
"Khalid","artist",1998,"United States"
"Lil Nas X","artist",1999,"United States"
"Gesaffelstein","artist",1987,"France"
"Regard","artist",1993,"Kosovo"
"Lewis Capaldi","artist",1996,"United Kingdom"
"Mustard","artist",1992,"United States"
"NLE Choppa","artist",2002,"United States"
"Alec Benjamin","artist",1994,"United States"
"BLACKPINK","artist",2016,"South Korea"
"MEDUZA","artist",2015,"Italy"
"Mabel","artist",1996,"United Kingdom"
"Saweetie","artist",1993,"United States"
"Lil Tecca","artist",2002,"United States"
"Russ Millions","artist",1996,"United Kingdom"
"Doja Cat","artist",1995,"United States"
"iann dior","artist",1999,"United States"
"Paulo Londra","artist",1998,"Argentina"
"Bad Bunny","artist",1994,"Puerto Rico"
"Polo G","artist",1999,"United States"
"Young Thug","artist",1991,"United States"
"Anuel AA","artist",1992,"Puerto Rico"
"Flipp Dinero","artist",1995,"United States"
"Dave","artist",1998,"United Kingdom"
"Ava Max","artist",1994,"United States"
"Young T & Bugsey","artist",2010,"United Kingdom"
"Stormzy","artist",1993,"United Kingdom"
"Tones And I","artist",2000,"Australia"
"Pedro Capó","artist",1980,"Puerto Rico"
"Lunay","artist",2000,"Puerto Rico"
"Blueface","artist",1997,"United States"
"DaBaby","artist",1991,"United States"
"AJ Tracey","artist",1994,"United Kingdom"
"BTS","artist",2013,"South Korea"
"Tyler, The Creator","artist",1991,"United States"
"Ashley O","artist",2018,"United States"
"Dominic Fike","artist",1999,"United States"
"Megan Thee Stallion","artist",1995,"United States"
"Sam Feldt","artist",1993,"Netherlands"
"Kehlani","artist",1995,"United States"
"Sech","artist",1993,"Panama"
"NSG","artist",2013,"United Kingdom"
"Normani","artist",1996,"United States"
"Joel Corry","artist",1989,"United Kingdom"
"Blanco Brown","artist",1990,"United States"
